year,date,confirm_add,confirm,heal,dead
2020,03.03,1,1,0,0
2020,03.04,0,1,0,0
2020,03.05,0,1,0,0
2020,03.06,0,1,0,0
2020,03.07,0,1,0,0
2020,03.08,0,1,0,0
2020,03.09,0,1,0,0
2020,03.10,4,5,0,0
2020,03.11,0,5,0,0
2020,03.12,2,7,0,0
2020,03.13,6,13,0,0
2020,03.14,0,13,0,0
2020,03.15,5,18,0,0
2020,03.16,2,20,0,0
2020,03.17,0,20,0,0
2020,03.18,7,27,0,0
2020,03.19,12,39,0,0
2020,03.20,0,39,0,0
2020,03.21,21,60,0,0
2020,03.22,15,75,0,3
2020,03.23,14,89,1,3
2020,03.24,25,114,1,3
2020,03.25,5,119,1,4
2020,03.26,59,173,1,5
2020,03.27,54,227,1,6
2020,03.28,0,227,2,7
2020,03.29,51,278,2,8
2020,03.30,34,312,2,8
2020,03.31,50,362,3,10
2020,04.01,32,394,3,10
2020,04.02,29,423,5,12
2020,04.03,32,455,5,14
2020,04.04,40,495,5,18
2020,04.05,58,553,5,19
2020,04.06,21,574,5,22
2020,04.07,22,596,5,22
2020,04.08,27,623,25,23
2020,04.09,5,628,25,24
2020,04.10,15,643,25,25
2020,04.11,28,671,43,25
2020,04.12,14,685,43,28
2020,04.13,22,707,43,31
2020,04.14,19,726,43,34
2020,04.15,21,747,43,34
2020,04.16,33,780,43,35
2020,04.17,42,822,43,37
2020,04.18,42,864,43,37
2020,04.19,2,866,43,37
2020,04.20,13,879,148,38
2020,04.21,5,884,148,38
2020,04.22,17,901,170,38
2020,04.23,8,909,190,38
2020,04.24,9,918,190,38
2020,04.25,4,922,194,38
2020,04.26,17,939,207,38
2020,04.27,10,949,216,38
2020,04.28,18,967,279,39
2020,04.29,8,975,279,40
2020,04.30,5,980,294,40
2020,05.01,14,994,305,41
2020,05.02,4,998,316,41
2020,05.03,11,1009,323,42
2020,05.04,4,1013,328,42
2020,05.05,5,1018,406,43
2020,05.06,4,1022,482,43
2020,05.07,3,1025,591,43
2020,05.08,1,1026,600,44
2020,05.09,4,1030,638,45
2020,05.10,2,1032,660,45
2020,05.11,0,1032,700,45
2020,05.12,0,1032,727,45
2020,05.13,0,1032,740,45
2020,05.14,0,1032,759,45
2020,05.15,0,1032,770,45
2020,05.16,3,1035,802,45
2020,05.17,2,1037,807,45
2020,05.18,0,1037,816,45
2020,05.19,6,1043,819,46
2020,05.20,1,1044,826,47
2020,05.21,1,1045,862,47
2020,05.22,1,1046,883,47
2020,05.23,2,1048,903,47
2020,05.24,0,1048,914,48
2020,05.25,3,1051,917,48
2020,05.26,0,1051,919,48
2020,05.27,0,1051,929,48
2020,05.28,17,1068,938,48
2020,05.29,3,1071,946,48
2020,05.30,5,1076,950,48
2020,05.31,1,1077,960,48
2020,06.01,7,1084,964,48
2020,06.02,2,1086,965,48
2020,06.03,0,1086,965,48
2020,06.04,1,1087,968,49
2020,06.05,0,1087,969,49
2020,06.06,0,1087,977,49
2020,06.07,0,1087,982,49
2020,06.08,0,1087,982,49
2020,06.09,0,1087,982,49
2020,06.10,0,1087,982,49
2020,06.11,0,1087,989,49
2020,06.12,6,1093,995,49
2020,06.13,0,1093,995,49
2020,06.14,3,1096,998,49
2020,06.15,14,1110,999,49
2020,06.16,15,1125,1002,49
2020,06.17,3,1128,1004,50
2020,06.18,4,1132,1006,50
2020,06.19,14,1146,1014,50
2020,06.20,10,1156,1017,50
2020,06.21,1,1157,1020,50
2020,06.22,2,1159,1020,50
2020,06.23,0,1159,1020,50
2020,06.24,0,1159,1023,50
2020,06.25,3,1162,1023,50
2020,06.26,2,1164,1023,50
2020,06.27,0,1164,1023,50
2020,06.28,5,1169,1029,50
2020,06.29,0,1169,1029,50
2020,06.30,3,1172,1029,50
2020,07.01,3,1175,1038,50
2020,07.02,0,1175,1038,50
2020,07.03,3,1178,1039,50
2020,07.04,3,1181,1045,50
2020,07.05,5,1186,1046,50
2020,07.06,2,1188,1048,50
2020,07.07,11,1199,1049,50
2020,07.08,6,1205,1049,50
2020,07.09,16,1221,1050,50
2020,07.10,19,1240,1067,50
2020,07.11,0,1240,1067,50
2020,07.12,23,1263,1076,50
2020,07.13,39,1302,1082,50
2020,07.14,0,1302,1082,50
2020,07.15,4,1306,1087,50
2020,07.16,21,1327,1093,50
2020,07.17,9,1336,1095,50
2020,07.18,0,1336,1095,50
2020,07.19,38,1374,1097,50
2020,07.20,0,1374,1097,50
2020,07.21,7,1381,1099,50
2020,07.22,8,1389,1103,50
2020,07.23,5,1394,1108,50
2020,07.24,12,1406,1118,50
2020,07.25,19,1425,1124,50
