year,date,confirm_add,confirm,heal,dead
2020,03.03,1,1,0,0
2020,03.04,0,1,0,0
2020,03.05,0,1,0,0
2020,03.06,0,1,0,0
2020,03.07,0,1,0,0
2020,03.08,0,1,0,0
2020,03.09,0,1,0,0
2020,03.10,0,1,0,0
2020,03.11,0,1,0,0
2020,03.12,0,1,0,0
2020,03.13,2,3,0,0
2020,03.14,0,3,0,1
2020,03.15,0,3,0,1
2020,03.16,2,5,0,1
2020,03.17,2,7,0,2
2020,03.18,7,14,0,2
2020,03.19,2,16,0,2
2020,03.20,10,26,0,3
2020,03.21,15,41,0,3
2020,03.22,6,47,0,3
2020,03.23,26,73,1,3
2020,03.24,13,97,1,3
2020,03.25,16,113,1,4
2020,03.26,43,156,1,5
2020,03.27,62,218,1,5
2020,03.28,92,310,5,5
2020,03.29,62,418,5,9
2020,03.30,62,480,6,11
2020,03.31,69,549,8,13
2020,04.01,120,669,10,17
2020,04.02,135,804,13,20
2020,04.03,138,942,19,23
2020,04.04,154,1096,23,28
2020,04.05,155,1251,25,32
2020,04.06,68,1319,28,38
2020,04.07,143,1462,28,45
2020,04.08,206,1668,35,52
2020,04.09,224,1892,45,57
2020,04.10,311,2203,61,69
2020,04.11,308,2511,79,73
2020,04.12,266,2777,89,83
2020,04.13,325,3102,97,93
2020,04.14,270,3372,119,98
2020,04.15,392,3764,143,108
2020,04.16,397,4161,186,116
2020,04.17,501,4662,246,125
2020,04.18,444,5106,275,133
2020,04.19,343,5449,347,141
2020,04.20,261,5710,359,151
2020,04.21,415,6125,367,161
2020,04.22,467,6592,424,174
2020,04.23,578,7170,504,187
2020,04.24,477,7647,601,193
2020,04.25,478,8125,782,201
2020,04.26,492,8617,840,209
2020,04.27,392,9009,864,220
2020,04.28,401,9410,992,239
2020,04.29,456,9866,1103,250
2020,04.30,540,10406,1238,261
2020,05.01,455,10861,1413,272
2020,05.02,550,11411,1498,279
2020,05.03,0,11411,1498,279
2020,05.04,920,12331,1619,303
2020,05.05,366,12697,1875,316
2020,05.06,487,13184,2097,327
2020,05.07,507,13691,2396,340
2020,05.08,504,14195,2706,361
2020,05.09,515,14710,2909,376
2020,05.10,522,15232,3060,391
2020,05.11,416,15648,3288,408
2020,05.12,375,16023,3373,425
2020,05.13,402,16425,3716,439
2020,05.14,422,16847,4143,456
2020,05.15,483,17330,4473,476
2020,05.16,528,17858,4906,497
2020,05.17,433,18291,5116,514
2020,05.18,325,18616,5276,535
2020,05.19,260,18876,5632,548
2020,05.20,354,19230,5955,564
2020,05.21,476,19706,6227,579
2020,05.22,442,20148,6585,588
2020,05.23,432,20580,6929,605
2020,05.24,406,20986,7108,617
2020,05.25,259,21245,7234,623
2020,05.26,339,21584,7575,644
2020,05.27,321,21905,7995,658
2020,05.28,477,22382,8439,669
2020,05.29,429,22811,8934,679
2020,05.30,393,23204,9311,696
2020,05.31,468,23672,9538,708
2020,06.01,340,24012,9690,718
2020,06.02,883,24895,10461,733
2020,06.03,0,24895,10461,733
2020,06.04,1086,25981,11468,755
2020,06.05,561,26542,11815,770
2020,06.06,559,27101,12265,785
2020,06.07,498,27599,12513,796
2020,06.08,478,28077,12657,805
2020,06.09,402,28479,12892,818
2020,06.10,536,29015,13257,841
2020,06.11,691,29706,13642,864
2020,06.12,709,30415,14075,880
2020,06.13,762,31177,14489,890
2020,06.14,674,31851,14596,899
2020,06.15,685,32536,14771,911
2020,06.16,673,33209,15054,922
2020,06.17,777,33986,15485,953
2020,06.18,847,34833,16001,976
2020,06.19,922,35755,16588,995
2020,06.20,860,36615,16974,1004
2020,06.21,746,37361,17078,1012
2020,06.22,695,38056,17211,1022
2020,06.23,845,38901,17538,1045
2020,06.24,951,39852,18009,1061
2020,06.25,1002,40854,18365,1078
2020,06.26,1121,41975,18927,1097
2020,06.27,957,42932,19350,1121
2020,06.28,924,43856,19585,1142
2020,06.29,682,44538,19679,1161
2020,06.30,716,45254,19792,1173
2020,07.01,670,45924,20244,1188
2020,07.02,897,46821,20755,1200
2020,07.03,884,47705,21296,1227
2020,07.04,923,48628,21907,1243
2020,07.05,840,49468,22131,1265
2020,07.06,585,50053,22462,1278
2020,07.07,569,50622,22970,1299
2020,07.08,835,51457,23912,1323
2020,07.09,828,52285,24606,1344
2020,07.10,831,53116,25634,1362
2020,07.11,825,53941,26513,1389
2020,07.12,706,54647,26971,1400
2020,07.13,638,55285,27356,1415
2020,07.14,646,55931,28021,1429
2020,07.15,848,56779,29005,1444
2020,07.16,861,57640,29822,1462
2020,07.17,826,58466,30675,1473
2020,07.18,867,59333,31479,1496
