year,date,confirm_add,confirm,heal,dead
2020,04.30,0,15,0,0
2020,05.01,0,15,0,0
2020,05.02,17,32,0,0
2020,05.03,44,76,0,2
2020,05.04,154,230,0,3
2020,05.05,63,293,0,5
2020,05.06,86,379,0,8
2020,05.07,82,461,0,12
2020,05.08,61,522,0,12
2020,05.09,90,612,0,20
2020,05.10,0,612,0,20
2020,05.11,49,661,0,21
2020,05.12,0,661,0,21
2020,05.13,140,801,0,23
2020,05.14,106,907,0,29
2020,05.15,211,1118,0,33
2020,05.16,204,1322,0,36
2020,05.17,0,1322,0,36
2020,05.18,407,1729,0,41
2020,05.19,207,1936,0,41
2020,05.20,0,1936,641,41
2020,05.21,204,2140,470,41
2020,05.22,210,2350,1008,44
2020,05.23,388,2738,1223,44
2020,05.24,191,2929,1301,46
2020,05.25,0,2929,1301,46
2020,05.26,337,3266,1417,47
2020,05.27,158,3424,1575,47
2020,05.28,139,3563,1674,47
2020,05.29,123,3686,1769,47
2020,05.30,121,3807,1865,47
2020,05.31,123,3930,2004,47
2020,06.01,83,4013,2089,47
2020,06.02,87,4100,2217,47
2020,06.03,0,4100,2217,47
2020,06.04,91,4191,2347,48
2020,06.05,179,4370,2491,48
2020,06.06,0,4370,2491,48
2020,06.07,159,4529,2673,48
2020,06.08,80,4609,2763,48
2020,06.09,81,4690,2815,48
2020,06.10,0,4690,2815,48
2020,06.11,144,4834,3062,49
2020,06.12,68,4902,3158,49
2020,06.13,69,4971,3288,50
2020,06.14,64,5035,3409,50
2020,06.15,62,5097,3503,50
2020,06.16,0,5097,3503,50
2020,06.17,63,5160,3624,50
2020,06.18,119,5279,3762,51
2020,06.19,59,5338,3830,51
2020,06.20,61,5399,3894,52
2020,06.21,58,5457,3995,52
2020,06.22,0,5457,3995,52
2020,06.23,110,5567,4109,52
2020,06.24,63,5630,4194,52
2020,06.25,61,5691,4267,52
2020,06.26,56,5747,4331,52
2020,06.27,0,5747,4331,52
2020,06.28,102,5849,4448,52
2020,06.29,51,5900,4506,52
2020,06.30,0,5900,4506,52
2020,07.01,54,5954,4568,52
2020,07.02,104,6058,4690,52
2020,07.03,0,6058,4690,52
2020,07.04,0,6058,4690,52
2020,07.05,101,6159,4809,52
2020,07.06,54,6213,4858,53
2020,07.07,49,6262,4914,53
2020,07.08,102,6364,5011,54
2020,07.09,0,6364,5011,54
2020,07.10,46,6410,5067,54
2020,07.11,96,6506,5176,55
2020,07.12,0,6506,5176,55
2020,07.13,46,6552,5228,55
2020,07.14,44,6596,5278,55
2020,07.15,99,6695,5383,56
2020,07.16,0,6695,5383,56
2020,07.17,91,6786,5483,56
2020,07.18,48,6834,5529,57
2020,07.19,0,6834,5529,57
2020,07.20,44,6878,5578,57
2020,07.21,89,6967,5683,57
2020,07.22,48,7015,5741,58
2020,07.23,45,7060,5793,58
2020,07.24,44,7104,5851,58
