year,date,confirm_add,confirm,heal,dead
2020,02.24,0,3,0,0
2020,02.25,5,8,0,0
2020,02.26,9,25,0,0
2020,02.27,18,43,0,0
2020,02.28,2,45,0,0
2020,03.01,1,46,0,0
2020,03.02,10,56,0,0
2020,03.03,0,56,0,0
2020,03.04,0,56,0,0
2020,03.05,2,58,0,0
2020,03.06,0,58,0,0
2020,03.07,0,58,0,0
2020,03.08,6,64,0,0
2020,03.09,1,65,0,0
2020,03.10,4,69,0,0
2020,03.11,3,72,2,0
2020,03.12,8,80,5,0
2020,03.13,20,100,5,0
2020,03.14,0,100,5,0
2020,03.15,0,100,5,0
2020,03.16,23,123,9,0
2020,03.17,7,130,9,0
2020,03.18,12,142,9,0
2020,03.19,6,148,18,0
2020,03.20,11,159,22,0
2020,03.21,17,176,27,0
2020,03.22,12,188,30,0
2020,03.23,1,189,30,0
2020,03.24,2,191,39,0
2020,03.25,4,195,43,0
2020,03.26,13,208,49,0
2020,03.27,17,225,57,0
2020,03.28,10,235,64,0
2020,03.29,20,255,67,0
2020,03.30,11,266,72,0
2020,03.31,23,289,73,0
2020,04.01,28,317,80,0
2020,04.02,25,342,81,0
2020,04.03,75,417,82,0
2020,04.04,62,479,93,1
2020,04.05,77,556,99,1
2020,04.06,109,665,103,1
2020,04.07,78,743,105,1
2020,04.08,112,855,111,1
2020,04.09,55,910,111,1
2020,04.10,83,993,123,1
2020,04.11,161,1154,133,1
2020,04.12,80,1234,142,1
2020,04.13,66,1300,150,2
2020,04.14,55,1355,176,3
2020,04.15,50,1405,206,3
2020,04.16,119,1524,225,3
2020,04.17,134,1658,258,5
2020,04.18,93,1751,280,6
2020,04.19,164,1915,305,7
2020,04.20,80,1995,367,9
2020,04.21,85,2080,412,11
2020,04.22,168,2248,443,13
2020,04.23,151,2399,498,14
2020,04.24,215,2614,613,15
2020,04.25,278,2892,656,19
2020,04.26,183,3075,806,20
2020,04.27,213,3288,1012,22
2020,04.28,152,3440,1176,23
2020,04.29,300,3740,1389,24
2020,04.30,284,4024,1539,26
2020,05.01,0,4024,1539,26
2020,05.02,595,4619,1703,33
2020,05.03,0,4619,1703,33
2020,05.04,659,5278,1947,40
2020,05.05,526,5804,2032,40
2020,05.06,485,6289,2219,42
2020,05.07,278,6567,2381,44
2020,05.08,641,7208,2466,47
2020,05.09,415,7623,2622,49
2020,05.10,1065,8688,2729,58
2020,05.11,598,9286,2907,65
2020,05.12,991,10277,3101,75
2020,05.13,751,11028,3263,82
2020,05.14,947,11975,3451,88
2020,05.15,885,12860,3640,96
2020,05.16,942,13802,3843,107
2020,05.17,1048,14850,4093,112
2020,05.18,841,15691,4339,118
2020,05.19,1073,16764,4681,121
2020,05.20,804,17568,4885,124
2020,05.21,1041,18609,5205,129
2020,05.22,955,19564,5515,138
2020,05.23,900,20464,5747,148
2020,05.24,838,21302,6117,156
2020,05.25,665,21967,6621,165
2020,05.26,608,22575,7306,172
2020,05.27,692,23267,7946,175
2020,05.28,845,24112,8698,185
2020,05.29,1072,25184,9273,194
2020,05.30,1008,26192,10156,205
2020,05.31,851,27043,11386,212
2020,06.01,719,27762,12899,220
2020,06.02,887,28649,14281,226
2020,06.03,0,28649,14281,226
2020,06.04,1272,29921,17223,236
2020,06.05,723,30644,18277,244
2020,06.06,487,31131,19282,254
2020,06.07,717,31848,20205,264
2020,06.08,662,32510,21242,269
2020,06.09,630,33140,22162,273
2020,06.10,0,33140,22162,273
2020,06.11,1292,34432,24137,279
2020,06.12,520,34952,25048,285
