year,date,confirm_add,confirm,heal,dead
2020,03.02,2,2,0,0
2020,03.03,0,2,0,0
2020,03.04,3,5,0,0
2020,03.05,0,5,0,0
2020,03.06,0,5,0,0
2020,03.07,7,15,0,0
2020,03.08,3,18,0,0
2020,03.09,12,30,0,0
2020,03.10,0,30,0,0
2020,03.11,11,41,0,0
2020,03.12,18,59,0,0
2020,03.13,53,112,0,0
2020,03.14,0,112,0,0
2020,03.15,57,169,2,0
2020,03.16,76,245,2,0
2020,03.17,117,448,3,1
2020,03.18,0,448,3,1
2020,03.19,337,785,4,2
2020,03.20,0,785,4,2
2020,03.21,495,1280,5,12
2020,03.22,815,1600,5,14
2020,03.23,460,2060,5,23
2020,03.24,762,2362,5,29
2020,03.25,633,2995,22,43
2020,03.26,549,3544,22,60
2020,03.27,724,4268,22,76
2020,03.28,902,5170,43,100
2020,03.29,792,5962,43,119
2020,03.30,446,6408,43,140
2020,03.31,1035,7443,43,160
2020,04.01,808,8251,43,187
2020,04.02,783,9034,68,209
2020,04.03,852,9886,68,246
2020,04.04,638,10524,75,266
2020,04.05,754,11278,75,295
2020,04.06,452,11730,140,311
2020,04.07,712,12442,184,345
2020,04.08,699,13141,196,380
2020,04.09,815,13956,205,409
2020,04.10,1516,15472,233,435
2020,04.11,515,15987,266,470
2020,04.12,598,16585,277,504
2020,04.13,349,16934,277,535
2020,04.14,514,17448,347,567
2020,04.15,643,18091,383,599
2020,04.16,750,18841,493,629
2020,04.17,181,19022,519,657
2020,04.18,663,19685,610,687
2020,04.19,521,20206,610,714
2020,04.20,657,20863,610,735
2020,04.21,516,21379,917,762
2020,04.22,603,21982,1143,785
2020,04.23,371,22353,1201,820
2020,04.24,444,22797,1228,854
2020,04.25,595,23392,1277,880
2020,04.26,472,23864,1329,903
2020,04.27,163,24027,1357,928
2020,04.28,295,24322,1389,948
2020,04.29,183,24505,1470,973
2020,04.30,540,25045,1519,989
2020,05.01,0,25045,1519,989
2020,05.02,145,25190,1671,1023
2020,05.03,0,25190,1671,1023
2020,05.04,334,25524,1712,1063
2020,05.05,178,25702,1743,1074
2020,05.06,480,26182,2076,1089
2020,05.07,533,26715,2258,1105
2020,05.08,553,27268,2422,1114
2020,05.09,138,27406,2499,1126
2020,05.10,175,27581,2549,1135
2020,05.11,98,27679,2549,1144
2020,05.12,234,27913,3013,1163
2020,05.13,219,28132,3182,1175
2020,05.14,187,28319,3198,1184
2020,05.15,264,28583,3328,1190
2020,05.16,227,28810,3822,1203
2020,05.17,226,29036,4636,1218
2020,05.18,173,29209,6430,1231
2020,05.19,223,29432,6431,1247
2020,05.20,228,29660,6452,1263
2020,05.21,252,29912,6452,1277
2020,05.22,288,30200,7590,1289
2020,05.23,271,30471,7705,1302
2020,05.24,152,30623,17549,1316
2020,05.25,165,30788,17822,1330
2020,05.26,219,31007,18096,1342
2020,05.27,285,31292,18349,1356
2020,05.28,304,31596,18637,1369
2020,05.29,350,31946,18911,1383
2020,05.30,257,32203,19186,1396
2020,05.31,297,32500,19409,1410
2020,06.01,200,32700,19552,1424
2020,06.02,195,32895,19869,1436
2020,06.03,0,32895,19869,1436
2020,06.04,697,33592,20323,1455
2020,06.05,377,33969,20526,1465
2020,06.06,0,33969,20526,1465
2020,06.07,724,34693,20995,1479
2020,06.08,192,34885,21156,1485
2020,06.09,421,35306,21339,1492
2020,06.10,0,35306,21339,1492
2020,06.11,604,35910,22002,1504
2020,06.12,270,36180,22200,1505
2020,06.13,283,36463,22438,1512
2020,06.14,227,36690,22669,1517
2020,06.15,346,37036,22852,1520
2020,06.16,300,37336,23212,1522
2020,06.17,336,37672,23580,1523
2020,06.18,417,38089,24010,1524
2020,06.19,375,38464,24477,1527
2020,06.20,377,38841,24906,1528
2020,06.21,292,39133,25376,1530
2020,06.22,259,39392,25548,1534
2020,06.23,345,39737,25829,1540
2020,06.24,367,40104,26083,1543
2020,06.25,311,40415,26382,1549
2020,06.26,451,40866,26633,1555
2020,06.27,323,41189,26864,1561
2020,06.28,0,41189,26864,1561
2020,06.29,723,41912,27205,1568
2020,06.30,229,42141,27505,1576
2020,07.01,313,42454,27798,1579
2020,07.02,328,42782,28097,1587
2020,07.03,0,42782,28097,1587
2020,07.04,787,43569,28772,1605
2020,07.05,328,43897,29017,1614
2020,07.06,232,44129,29166,1620
2020,07.07,287,44416,29445,1629
2020,07.08,443,44859,29714,1631
2020,07.09,418,45277,30049,1644
2020,07.10,402,45679,30350,1646
2020,07.11,542,46221,30655,1654
2020,07.12,0,46221,30655,1654
2020,07.13,597,46818,31065,1662
2020,07.14,233,47051,31550,1668
2020,07.15,375,47426,32110,1676
2020,07.16,339,47765,32476,1679
2020,07.17,312,48077,32790,1682
2020,07.18,313,48390,33153,1684
2020,07.19,246,48636,33369,1689
2020,07.20,135,48771,33547,1691
2020,07.21,127,48898,33769,1697
2020,07.22,0,48898,33769,1697
2020,07.23,481,49379,34369,1705
