year,date,confirm_add,confirm,heal,dead
2020,03.03,1,1,0,0
2020,03.04,0,1,0,0
2020,03.05,0,1,0,0
2020,03.06,0,1,0,0
2020,03.07,0,1,0,0
2020,03.08,0,1,0,0
2020,03.09,5,6,0,0
2020,03.10,2,8,0,0
2020,03.11,0,8,0,0
2020,03.12,2,10,0,0
2020,03.13,6,16,1,0
2020,03.14,2,18,1,0
2020,03.15,13,30,1,0
2020,03.16,4,34,1,0
2020,03.17,0,34,1,0
2020,03.18,15,49,1,0
2020,03.19,22,71,1,0
2020,03.20,15,86,1,0
2020,03.21,25,111,1,0
2020,03.22,13,124,1,0
2020,03.23,15,139,1,0
2020,03.24,41,180,1,0
2020,03.25,17,197,1,0
2020,03.26,24,221,1,0
2020,03.27,23,244,1,0
2020,03.28,36,280,1,0
2020,03.29,25,305,1,0
2020,03.30,42,347,1,0
2020,03.31,51,398,1,0
2020,04.01,48,446,1,0
2020,04.02,12,458,1,0
2020,04.03,35,493,1,0
2020,04.04,16,509,1,1
2020,04.05,24,533,1,1
2020,04.06,9,542,1,1
2020,04.07,6,548,16,2
2020,04.08,29,577,16,2
2020,04.09,12,589,16,2
2020,04.10,23,612,16,3
2020,04.11,18,630,16,3
2020,04.12,21,651,16,5
2020,04.13,4,655,16,5
2020,04.14,2,657,16,5
2020,04.15,9,666,44,5
2020,04.16,9,675,57,5
2020,04.17,7,682,88,5
2020,04.18,30,712,88,5
2020,04.19,15,727,88,5
2020,04.20,12,739,88,5
2020,04.21,9,748,133,9
2020,04.22,13,761,133,11
2020,04.23,17,778,133,11
2020,04.24,6,784,133,12
2020,04.25,20,804,267,12
2020,04.26,8,812,267,12
2020,04.27,6,818,267,13
2020,04.28,18,836,267,13
2020,04.29,13,849,348,15
2020,04.30,9,858,348,15
2020,05.01,12,870,348,16
2020,05.02,1,871,348,16
2020,05.03,0,871,348,16
2020,05.04,25,896,348,16
2020,05.05,0,896,348,17
2020,05.06,4,900,464,17
2020,05.07,9,909,464,18
2020,05.08,19,928,464,18
2020,05.09,2,930,464,18
2020,05.10,9,939,464,18
2020,05.11,7,946,464,18
2020,05.12,4,950,627,18
2020,05.13,1,951,627,19
2020,05.14,11,962,627,19
2020,05.15,8,970,662,19
2020,05.16,27,997,662,19
2020,05.17,11,1008,662,19
2020,05.18,1,1009,662,19
2020,05.19,3,1012,694,21
2020,05.20,4,1016,694,21
2020,05.21,9,1025,694,22
2020,05.22,5,1030,712,22
2020,05.23,16,1046,712,22
2020,05.24,1,1047,712,22
2020,05.25,2,1049,712,22
2020,05.26,4,1053,741,22
2020,05.27,4,1057,741,23
2020,05.28,4,1061,741,24
2020,05.29,3,1064,745,24
2020,05.30,1,1065,745,24
2020,05.31,1,1066,745,24
2020,06.01,0,1066,745,24
2020,06.02,5,1071,760,24
2020,06.03,0,1071,760,24
2020,06.04,11,1082,760,25
2020,06.05,3,1085,781,25
2020,06.06,1,1086,781,25
2020,06.07,2,1088,781,25
2020,06.08,0,1088,781,26
2020,06.09,1,1089,794,26
2020,06.10,3,1092,794,26
2020,06.11,2,1094,818,26
2020,06.12,2,1096,818,27
2020,06.13,1,1097,845,28
2020,06.14,0,1097,845,28
2020,06.15,0,1097,845,28
2020,06.16,1,1098,875,28
2020,06.17,6,1104,875,30
2020,06.18,4,1108,903,30
2020,06.19,2,1110,903,30
2020,06.20,1,1111,903,30
2020,06.21,0,1111,903,30
2020,06.22,0,1111,903,30
2020,06.23,0,1111,903,30
2020,06.24,0,1111,903,30
2020,06.25,0,1111,903,30
2020,06.26,1,1112,932,30
2020,06.27,3,1115,932,30
2020,06.28,1,1116,932,30
2020,06.29,1,1117,932,30
2020,06.30,1,1118,974,30
2020,07.01,3,1121,974,30
2020,07.02,1,1122,988,30
2020,07.03,0,1122,997,30
2020,07.04,1,1123,1000,30
2020,07.05,1,1124,1000,30
2020,07.06,3,1127,1000,30
2020,07.07,7,1134,1008,30
2020,07.08,7,1141,1008,30
2020,07.09,13,1154,1019,30
2020,07.10,11,1165,1019,30
2020,07.11,8,1173,1019,30
2020,07.12,0,1173,1019,30
2020,07.13,1,1174,1019,31
2020,07.14,0,1174,1022,31
2020,07.15,4,1178,1022,31
2020,07.16,1,1179,1022,31
2020,07.17,6,1185,1022,31
2020,07.18,4,1189,1022,31
2020,07.19,3,1192,1022,31
2020,07.20,0,1192,1022,31
2020,07.21,1,1193,1045,31
2020,07.22,4,1197,1045,31
2020,07.23,6,1203,1045,31
2020,07.24,2,1205,1045,31
2020,07.25,1,1206,1045,31
2020,07.26,13,1219,1045,31
