year,date,confirm_add,confirm,heal,dead
2020,03.02,1,2,1,0
2020,03.03,0,2,1,0
2020,03.04,0,2,1,0
2020,03.05,1,3,1,0
2020,03.06,0,3,1,0
2020,03.07,12,15,1,0
2020,03.08,33,48,1,0
2020,03.09,7,55,12,1
2020,03.10,4,59,26,1
2020,03.11,0,59,26,1
2020,03.12,7,67,26,1
2020,03.13,13,80,26,2
2020,03.14,13,93,26,2
2020,03.15,17,110,26,2
2020,03.16,16,126,26,2
2020,03.17,40,166,26,2
2020,03.18,30,196,26,6
2020,03.19,14,210,26,6
2020,03.20,46,256,28,7
2020,03.21,29,285,39,8
2020,03.22,9,294,41,10
2020,03.23,33,327,56,14
2020,03.24,39,366,68,19
2020,03.25,76,442,80,21
2020,03.26,14,456,95,21
2020,03.27,39,495,102,24
2020,03.28,41,536,116,30
2020,03.29,40,576,121,36
2020,03.30,33,609,132,40
2020,03.31,47,656,150,41
2020,04.01,54,710,157,46
2020,04.02,69,779,179,52
2020,04.03,86,865,201,58
2020,04.04,120,985,216,66
2020,04.05,85,1070,241,71
2020,04.06,103,1173,247,78
2020,04.07,149,1322,259,85
2020,04.08,128,1450,276,94
2020,04.09,110,1560,305,103
2020,04.10,139,1699,348,118
2020,04.11,95,1794,384,135
2020,04.12,145,1939,426,146
2020,04.13,126,2065,589,159
2020,04.14,125,2190,589,164
2020,04.15,160,2350,589,178
2020,04.16,155,2505,589,183
2020,04.17,168,2673,596,196
2020,04.18,171,2844,646,205
2020,04.19,188,3032,701,224
2020,04.20,112,3144,732,239
2020,04.21,189,3333,821,250
2020,04.22,157,3490,870,264
2020,04.23,169,3659,935,276
2020,04.24,433,4092,1075,294
2020,04.25,0,4092,1075,294
2020,04.26,227,4319,1114,307
2020,04.27,215,4534,1176,317
2020,04.28,248,4782,1236,337
2020,04.29,260,5042,1304,359
2020,04.30,226,5268,1335,380
2020,05.01,269,5537,1381,392
2020,05.02,358,5895,1460,406
2020,05.03,298,6193,1522,415
2020,05.04,272,6465,1562,429
2020,05.05,736,7201,1730,452
2020,05.06,0,7201,1730,452
2020,05.07,387,7588,1815,469
2020,05.08,393,7981,1887,482
2020,05.09,495,8476,1945,503
2020,05.10,488,8964,2002,514
2020,05.11,436,9400,2075,525
2020,05.12,346,9746,2172,533
2020,05.13,347,10093,2326,544
2020,05.14,338,10431,2486,556
2020,05.15,398,10829,2626,571
2020,05.16,399,11228,2799,592
2020,05.17,491,11719,2950,612
2020,05.18,510,12229,3172,630
2020,05.19,535,12764,3440,645
2020,05.20,720,13484,3742,659
2020,05.21,745,14229,3994,680
2020,05.22,774,15003,4217,696
2020,05.23,783,15786,4374,707
2020,05.24,727,16513,4628,735
2020,05.25,752,17265,4807,764
2020,05.26,702,17967,4900,783
2020,05.27,789,18756,5027,797
2020,05.28,910,19666,5205,816
2020,05.29,1127,20793,5359,845
2020,05.30,1289,22082,5511,879
2020,05.31,1367,23449,5693,913
2020,06.01,1536,24985,6037,959
2020,06.02,1399,26384,6447,1005
2020,06.03,1152,27536,6827,1052
2020,06.04,1079,28615,7350,1088
2020,06.05,1152,29767,7756,1126
2020,06.06,1348,31115,8158,1166
2020,06.07,1497,32612,8538,1198
2020,06.08,1467,34079,8961,1237
2020,06.09,1365,35444,9375,1271
2020,06.10,1385,36829,9786,1306
2020,06.11,1455,38284,10289,1342
2020,06.12,1442,39726,10691,1377
2020,06.13,1577,41303,11108,1422
2020,06.14,1677,42980,11529,1484
2020,06.15,1618,44598,11931,1575
2020,06.16,1691,46289,12329,1672
2020,06.17,1567,47856,12730,1766
2020,06.18,1363,49219,13141,1850
2020,06.19,1218,50437,13528,1938
2020,06.20,1774,52211,13928,2017
