year,date,confirm_add,confirm,heal,dead
2020,04.30,0,1,0,0
2020,05.01,0,1,0,0
2020,05.02,0,1,0,0
2020,05.03,2,3,0,0
2020,05.04,0,3,0,0
2020,05.05,0,3,0,0
2020,05.06,1,4,0,1
2020,05.07,4,8,0,1
2020,05.08,0,8,0,1
2020,05.09,0,8,0,1
2020,05.10,3,11,0,1
2020,05.11,0,11,0,1
2020,05.12,0,11,0,1
2020,05.13,0,11,0,1
2020,05.14,0,11,0,1
2020,05.15,0,11,3,1
2020,05.16,0,11,3,1
2020,05.17,0,11,3,1
2020,05.18,0,11,3,1
2020,05.19,0,11,3,1
2020,05.20,23,34,8,1
2020,05.21,0,34,8,1
2020,05.22,0,34,8,1
2020,05.23,44,78,18,1
2020,05.24,0,78,18,1
2020,05.25,9,87,21,1
2020,05.26,0,87,21,1
2020,05.27,0,87,21,1
2020,05.28,0,87,24,2
2020,05.29,0,87,24,2
2020,05.30,0,87,24,2
2020,05.31,19,106,26,2
2020,06.01,0,106,26,2
2020,06.02,0,106,26,2
2020,06.03,26,132,27,2
2020,06.04,0,132,27,2
2020,06.05,0,132,55,2
2020,06.06,0,132,55,2
2020,06.07,9,141,67,2
2020,06.08,0,141,67,2
2020,06.09,0,141,67,2
2020,06.10,0,141,67,2
2020,06.11,21,162,97,2
2020,06.12,0,162,97,2
2020,06.13,1,163,97,2
2020,06.14,13,176,114,2
2020,06.15,0,176,114,2
2020,06.16,0,176,114,2
2020,06.17,21,197,127,3
2020,06.18,0,197,127,3
2020,06.19,13,210,129,5
2020,06.20,0,210,129,5
2020,06.21,37,247,159,5
2020,06.22,0,247,159,5
2020,06.23,0,247,159,5
2020,06.24,18,265,159,7
2020,06.25,7,272,161,7
2020,06.26,0,272,161,7
2020,06.27,0,272,161,7
2020,06.28,0,272,161,7
2020,06.29,0,272,161,7
2020,06.30,0,272,161,7
2020,07.01,31,303,200,7
2020,07.02,0,303,200,7
2020,07.03,0,303,200,7
2020,07.04,6,309,241,7
2020,07.05,0,309,241,7
2020,07.06,2,311,266,7
2020,07.07,0,311,266,7
2020,07.08,0,311,266,7
2020,07.09,2,313,272,7
2020,07.10,1,314,272,7
2020,07.11,0,314,272,7
2020,07.12,3,317,296,7
2020,07.13,0,317,296,7
2020,07.14,0,317,296,7
2020,07.15,4,321,302,7
2020,07.16,0,321,302,7
2020,07.17,7,328,311,7
2020,07.18,0,328,311,7
2020,07.19,0,328,311,7
2020,07.20,6,334,313,7
2020,07.21,0,334,313,7
